Context,"Ampurias I tab VIII 7,8; XI 7-19",Olynthus XIII p 73 n. 23,Meligunis-Lipara II p. 219 note 11,Meligunis-Lipara II p. 219 note 20,Meligunis-Lipara II p. 211 RF Attic Kylix,Olynthus XIII n 651,Olynthus XIII n 649,Olynthus XIII n 648,Olynthus XIII n 647,RF Providence Painter,RF Icarus Painter,Meligunis-Lipara II p. 211 RF Attic Lekythos 470-460 BCE,Meligunis-Lipara II p. 219 note 29,Meligunis-Lipara II p. 214 RF Local Skyphos Ovoid Two Horizontal Lines Variant,Meligunis-Lipara II p. 219 note 31,Meligunis-Lipara II p. 211 RF Attic Kylix quasi-hemispheric,Meligunis-Lipara II p. 211 RF Attic coppa-skyphoide a profilo carenato,Olynthus XIII n 787,Olynthus XIII n 786,Olynthus XIII n 785,Meligunis-Lipara II p. 219 note 30,Meligunis-Lipara II p. 211 End of 4th c. BCE,Meligunis-Lipara II p. 212 RF Attic Imitation Kylix,"Ampurias I tab 4, Nri 7-11","Olynthus XIII pp. 146-150, tab 101-106",Meligunis-Lipara II p. 219 note 17,Meligunis-Lipara II p. 212 RF Local Patera Palmette-Semicircles,Meligunis-Lipara II p. 219 note 29 bis,Olynthus XIII n 574,Olynthus XIII n 573,Olynthus XIII n 571,Olynthus XIII n 570,Meligunis-Lipara II p. 220 note 32,Meligunis-Lipara II p. 214 RF Local Skyphos Ovoid Two Horizontal Lines,Meligunis-Lipara II p. 223 RF Lekane decorative,Meligunis-Lipara II p. 211 RF Attic Kylix Apodos,Meligunis-Lipara II p. 226 BG Lekythos Min,Meligunis-Lipara II p. 215 Olpe acroma,Meligunis-Lipara II p. 226 BG Skyphos Globular,Meligunis-Lipara II p. 215 Olpe acroma 336 439,Meligunis-Lipara II p. 211 RF Attic Kylix 2nd Half of 5th c. BCE Palmettes-Semicircles,Meligunis-Lipara II p. 226 BG Skyphos Globular Achromatic,Meligunis-Lipara II p. 225 BG Kylix Oldest Group,Meligunis-Lipara II p. 226 RF Lekythos Ovoid,Meligunis-Lipara II p. 224 BG Kylix Variant 1,LAMP Howland 23A,Meligunis-Lipara II p. 220 note 39,LAMP Howland 23A’,Meligunis-Lipara II Table l (ell) decoration 1-6,Meligunis-Lipara II p. 223 Lekane Early 4th c. BCE,Meligunis-Lipara II p. 211 RF Attic Kylix 2nd Half of 5th c. BCE,Melignuis Lipara II tav. LXXIX 6,Meligunis-Lipara II p. 225 BG Kylix Thick Border,Meligunis-Lipara II p. 226 BG Skyphos Ovoid,Meligunis-Lipara II p. 225 BG Kylix Later Group,Meligunis-Lipara II p. 226 Guttus,LAMP Howland 25A’,Meligunis-Lipara II p. 228 note 13,Lekythos Pagenstecher,Meligunis-Lipara II p. 226 Lamp echiniform,Meligunis Lipara II T. 408 tab. XCII 1b,LAMP Houwland A,Meligunis-Lipara II p. 228 note 14,Meligunis-Lipara II p. 226 Lamp a pilastrino,Meligunis-Lipara II p. 224 BG Kylix Variant 2,Meligunis-Lipara II p. 226 Lamp ansa a nastro,Meligunis-Lipara II p. 219 note 27,Meligunis-Lipara II p. 212 RF Attic Imitation Kylix a calotta sferica,Gela Orlandini NS 1956 p. 296 fig. 10,Melignuis Lipara II p 30 tab XC T. 74,Meligunis-Lipara II p. 226 BG Olpe Gnathian Precursor,Meligunis Lipara II p 225 fig 29,Meligunis-Lipara II p. 234 Gnathian olpe ovoid,Meligunis-Lipara II p. 232 Lekythos ovoidal,"Melignuis Lipara II II tab 130.2, 131.1, 132.3 tab f.2",Meligunis-Lipara II p. 232 Bottle Lekythos,Meligunis-Lipara II p. 231 Pyxis Skyphoid,Meligunis-Lipara II p. 232 Gnathian vine decoration,Meligunis-Lipara II p. 233 Gnathian Ionic kymation decoration,RF Lipari Painter,Meligunis-Lipara II p. 231 Lekane Head,Meligunis-Lipara II p. 231 Lekane Figural,Lekanis Group sim,Meligunis-Lipara II p. 236 grande bacile tronco-conico,Meligunis-Lipara II p. 231 Lekane exx 144 232 298,Meligunis-Lipara II p. 234 Gnathian olpe bocca a disco,Meligunis-Lipara II p. 235 Gnathian skyphos ovoid,Meligunis-Lipara II p. 241 note 10,Meligunis-Lipara II p. 236 decoration palmette in center,Meligunis-Lipara II p. 236 decoration baccellatura on rim,Meligunis-Lipara II Table l (ell) decoration 7-20,Meligunis-Lipara II p. 235 Gnathian kylix tipo fondo a orlo espanso,Gnathian,Meligunis-Lipara II p. 240 note 6,Meligunis-Lipara II p. 235 Gnathian skyphos semiovoid,Meligunis-Lipara II p. 233 Gnathian white egg decoration,Meligunis-Lipara II p. 235 Gnathian kylix tipo forma emisferica con orlo rientrante,Meligunis-Lipara II p. 235 patera with straight rim,Meligunis-Lipara II p. 236 stamnos,Meligunis-Lipara II p. 241 note 9,Meligunis-Lipara II p. 237 pyxis a corpo strigilato,Meligunis-Lipara II p. 235 small patera trad from 5th c. BCE,Meligunis-Lipara II p. 236 myke,Meligunis-Lipara II p. 237-238 advanced Gnathian,Meligunis-Lipara II p. 237 pyxis a corpo liscio,Meligunis Lipara II p. 233 disegni,Meligunis-Lipara II p. 246 Mykai,Meligunis-Lipara II p. 245 plate decorated rim,Meligunis-Lipara II p. 93 tab. CXXXV 1,Meligunis-Lipara II p. 247 BG Lamp tipo degenerato,Meligunis-Lipara II p. 245 olpe a corpo ovoidale,Meligunis-Lipara II p. 244 kylix su alto peduccio,Meligunis-Lipara II p. 247 BG Lamp tipo a pilastrino,Meligunis-Lipara II p. 252 bottiglia a corpo tronco-conico,Meligunis-Lipara II p. 244 olpe tipo a orlo cadente,Meligunis-Lipara II p. 245 pyxis a corpo emisferico,Meligunis Lipara II p 278 tav 120,Meligunis-Lipara II p. 247 unguentarium  forma a fuso,Meligunis-Lipara II p. 244 skyphos-kantharos,Meligunis Lipara II p. 245 BG small patera,Lipari Tomb 447 cf. Meligunis Lipara II tab. 210 2b,Meligunis-Lipara II p. 246 Olpe acroma a corpo globulare,Meligunis-Lipara II p. 245 guttus a corpo schiacciato,Melignuis Lipara II tab 210 4c,De Miro and Fiorentini 1977 p 68,Meligunis-Lipara II p. 244 skyphos tipo rastremato alto,Meligunis-Lipara II p. 247 BG Lamp corpo sferico-schiacciato acroma,Meligunis-Lipara II p. 249 note 9,LAMP Howland 28B,"Meligunis Lipara II t. 244, tab CCIX 2 75 XXXVIII 3",Meligunis-Lipara II p. 244 skyphos tipo rastremato basso,Meligunis-Lipara II p. 244 skyphos tipo rastremato dipinto,Meligunis-Lipara II p. 244-5 Campanian A,Meligunis-Lipara II p. 245 oinochoe piccola a corpo quasi fusiforme,Meligunis-Lipara II p. 252 olpe corpo cilindrico cf. T. 447,BG Campanian A,Meligunis-Lipara II p. 253 coppa emisferica,BG Lamboglia 27
Lipari Necr. Contrada Diana T. 164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipari Necr. Contrada Diana T. 396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipari Necr. Contrada Diana T. 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipari Necr. Contrada Diana T. 47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipari Necr. Contrada Diana T. 262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipari Necr. Contrada Diana T. 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipari Necr. Contrada Diana T. 420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipari Necr. Contrada Diana T. 332 bis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipari Necr. Contrada Diana T. 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipari Necr. Contrada Diana T. 222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipari Necr. Contrada Diana T. 207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipari Necr. Contrada Diana T. 414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
