Context,AMPH Dressel 2-4 Stamp L EVMACHI,AMPH Dressel 9,Morel 2266a1,Morel 2284d1,TSI Dragendroff II,TSI Goudineau 17,TSI Goudineau 18,TSI Goudineau 20b,TSI Goudineau 25a,TSI Goudineau 27,TSI Goudineau 28,TSI Goudineau 38,TSI Haltern 1,TSI Haltern 12,TSI Haltern 1c,TSI Haltern 2,TSI Haltern 8,TSI,AMPH Dressel 2-4,AMPH Pascual 1,AMPH Panella 2,TSI Goudineau 1,AMPH Dressel 12,AMPH Laeetanian 1,AMPH Brindisi Stamp M.TVCCI.F.TRO GALEONIS,AMPH Dressel 1B Stamp ARTEM.AELI,AMPH Oberaden 74 Stamp C.[M]V[SS],AMPH Dressel 1A Stamp MAH[E],AMPH Oberaden 74,AMPH Haltern 70,AMPH Dressel 20 Early,AMPH Dressel 7-11,AMPH Gauloise 1,AMPH Laetanian 1,AMPH Mañá E,AMPH Oberaden 74 Stamp PHILODAM[VS],AMPH Stamp LICINI,AMPH Stamp M.P[ORCI],AMPH Stamp MVSS[IDI NEP],AMPH Dressel 1B,AMPH Dressel 26,AMPH Tripolitanian,AMPH Lamboglia 2,AMPH Dressel 1A/B,AMPH Dressel 1A Stamp SESTIVS,AMPH Brindisi,AES Oinochoe Kelheim,AMPH Dressel 1A/B Stamp [DI]OCL MESOR[P.MAR],Lamboglia 31,Morel 2574,AMPH Dressel 1 Stamp LV[,AMPH Dressel 1 Stamp ANT,AMPH Dressel 1B Stamp PHILOX.S.AELI,AMPH Bartoloni K,AMPH Dressel 1C Stamp E,AMPH Early Tripolitanian,AMPH Dressel 1 Stamp DIO.N,AMPH Dressel 1A Grand Congloué B,AMPH Dressel 1A Stamp D.AV.ATEC,AMPH Dressel 1A Stamp C.TITI.C.F,AMPH Mañá C2b,AMPH Dressel 1C,AMPH Dressel 1A Cavalière,AMPH Dressel 1A/C,Lambogla 36,Lamboglia B 2,Lamboglia B 4,AMPH Dressel 1A,Lamboglia 27,Lamboglia 2,Lamboglia 4,Lamboglia B 1,Morel 1224a,Morel 1411a,Morel 1412a,Morel 1441e,Morel 2255,Morel 2255c,Morel 2255d,Morel 2284b,Morel 2323,Morel 2362a,Morel 2653,Morel 2653b,Morel 2653d,Morel 3121,Morel 3121e,Morel 3451d,Morel 7553,Lamboglia 8,AMPH Greco-Italic Will e,Lamboglia 27B,Lamboglia 8Bb,Morel 1312e,Morel 1443e,Morel 2283d,Morel 2614d,Morel 2788f,Morel 2825e,Morel 2843a,Morel 2855a,Morel 3221b,Lamboglia 49A,Lamboglia 36,Lamboglia 34,AMPH Greco-Italic MGS VI,AMPH Greco-Italic MGS VIb,Lamboglia 27c,Lamboglia 45,AMPH Greco-Italic Will c,AMPH Greco-Italic Will d,Grand Congloué A p 108 n 2-3,Grand Congloué A p 111 pl 17,Grand Congloué A p 114 n 4,Lamboglia 27Ba,Lamboglia 28ab,Lamboglia 31a,Lamboglia 31b,Lamboglia 33b,Lamboglia 34b,Lamboglia 48A,Lamboglia 49B,Lamboglia 59,Lamboglia 68,Morel 3421,Lamboglia 28,Grand Congloué A p 40 fig 36,Grand Congloué A p 40 fig 36bis,Lamboglia 27a-b,Lamboglia 33,Lamboglia 55,Lamboglia 68b-c,Grand Congloué A p. v. a.3 and c.1,Lamboglia 23,Lamboglia 42Ba,AMPH Greco-Italic MGS V,AMPH Greco-Italic MGS Va,AMPH Ramón 7.2.1.1,Aleria I 357,AMPH Greco-Italic Stamp ΕΥΞΕΝΥ,AMPH Greco-Italic MGS IV,AMPH Ramón 6.1.1.1,AMPH Corinthian B,Aleria I 433,AMPH Corinthian A',AMPH Corinthian A,AMPH El Sec K,AMPH El Sec L,AMPH El Sec M,AMPH Greco-Italic Will a,AMPH Greco-Italic Will a1,AMPH Greco-Italic Will a2,AMPH Mañá C1,BG Attic Lagynos Cuadrado 70,BG Attic Morel 109 = Salvá 71,BG Attic Perfume Pot,BG Attic Small Olpe,Globular Kantharos Robinson 7,Jehasse 116,Lamboglia 21,Lamboglia 21/25,Lamboglia 21/25B,Lamboglia 22,Lamboglia 24,Lamboglia 24A,Lamboglia 40,Lamboglia 41,Lamboglia 43,LAMP Howland 23D,LAMP Howland 24C',LAMP Howland 25A,LAMP Howland 26A,Morel 109,Morel 2220,Sparkes-Talcott n 1059,Sparkes-Talcott n 1060,Sparkes-Talcott n 887,Sparkes-Talcott n 944
Cavalière,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Congloué B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toulouse - Caserne Niel Puits 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burriac - Cabrera de Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veille-Toulouse - Puits 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toulouse - Coteaux d'Estarac Puits 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veille-Toulouse - Fosse 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madrague de Giens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veille-Toulouse - Grande Citerne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIL 15.4537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veille-Toulouse - Puits 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cap Béar C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planier C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Ribaud D,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
